playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary
cishest01,2015,1,MIA,NL,2,6,32,0,0,0,3,96,37,16,2,14,28,0.29100000000000004,4.5,3.0,0,0.0,0,144.0,15,19,1.0,2.0,3.0,4000000.0
cishest01,2015,2,SLN,NL,0,0,27,0,0,0,1,70,18,6,2,13,20,0.212,2.31,0.0,1,1.0,0,99.0,8,7,0.0,0.0,4.0,4000000.0
clippty01,2015,1,OAK,AL,1,3,37,0,0,0,17,116,25,12,3,21,38,0.175,2.79,1.0,1,2.0,0,167.0,30,12,0.0,1.0,0.0,6100000.0
clippty01,2015,2,NYN,NL,4,1,32,0,0,0,2,97,24,11,5,10,26,0.2,3.06,1.0,5,2.0,0,134.0,6,13,1.0,1.0,2.0,6100000.0
colege01,2015,1,PIT,NL,19,8,32,32,0,0,0,624,183,60,11,44,202,0.239,2.6,1.0,7,10.0,0,832.0,0,71,7.0,6.0,22.0,548000.0
colemlo01,2015,1,KCA,AL,1,0,4,0,0,0,0,9,1,0,0,2,1,0.111,0.0,0.0,0,0.0,0,11.0,2,0,0.0,0.0,1.0,725000.0
colomal01,2015,1,TBA,AL,8,5,43,13,0,0,0,329,112,48,9,31,88,0.271,3.94,4.0,8,4.0,0,457.0,5,50,2.0,7.0,8.0,521700.0
colonba01,2015,1,NYN,NL,14,13,33,31,1,1,0,584,217,90,25,24,136,0.281,4.16,5.0,0,4.0,0,815.0,1,94,9.0,7.0,16.0,7250000.0
conlead01,2015,1,MIA,NL,4,1,15,11,0,0,0,201,65,28,7,21,59,0.258,3.76,1.0,0,3.0,0,281.0,1,28,1.0,4.0,7.0,512500.0
cookry01,2015,1,OAK,AL,0,2,4,0,0,0,0,13,7,5,0,3,3,0.35,10.38,0.0,0,0.0,0,23.0,0,5,0.0,0.0,0.0,1100000.0
cookry01,2015,2,BOS,AL,0,0,5,0,0,0,0,13,13,13,4,4,3,0.48100000000000004,27.0,0.0,1,0.0,0,31.0,1,14,0.0,0.0,0.0,1100000.0
corbipa01,2015,1,ARI,NL,6,5,16,16,0,0,0,255,91,34,9,17,78,0.272,3.6,0.0,4,2.0,0,357.0,0,34,2.0,1.0,7.0,2525000.0
cosarja01,2015,1,MIA,NL,2,5,14,13,0,0,0,209,63,35,10,33,47,0.243,4.52,1.0,7,1.0,0,296.0,0,35,2.0,1.0,6.0,550000.0
cothaca01,2015,1,NYA,AL,1,0,12,0,0,0,0,29,14,7,4,1,11,0.326,6.52,0.0,0,0.0,0,45.0,4,7,1.0,0.0,0.0,509675.0
cuetojo01,2015,1,CIN,NL,7,6,19,19,1,1,0,392,93,38,11,29,120,0.196,2.62,1.0,0,6.0,4,516.0,0,42,4.0,3.0,10.0,17500000.0
cuetojo01,2015,2,KCA,AL,4,7,13,13,1,1,0,244,101,43,10,17,56,0.307,4.76,0.0,0,2.0,0,350.0,0,45,1.0,1.0,8.0,17500000.0
danksjo01,2015,1,CHA,AL,7,15,30,30,2,1,0,533,195,93,24,56,124,0.281,4.71,1.0,8,3.0,1,768.0,0,104,8.0,6.0,15.0,15750000.0
daviswa01,2015,1,KCA,AL,8,1,69,0,0,0,17,202,33,7,3,20,78,0.14400000000000002,0.94,1.0,1,0.0,0,251.0,24,8,0.0,2.0,4.0,8000000.0
degroja01,2015,1,NYN,NL,14,8,30,30,0,0,0,573,149,54,16,38,205,0.215,2.54,2.0,6,2.0,0,751.0,0,59,10.0,7.0,8.0,607000.0
delarjo01,2015,1,COL,NL,9,7,26,26,1,0,0,447,137,69,17,65,134,0.247,4.17,3.0,6,3.0,2,635.0,0,73,4.0,8.0,18.0,12500000.0
delarru01,2015,1,ARI,NL,14,9,32,32,0,0,0,566,193,98,32,63,150,0.265,4.67,3.0,2,4.0,2,809.0,0,103,8.0,5.0,18.0,2350000.0
delgara01,2015,1,ARI,NL,8,4,64,1,0,0,1,216,63,26,7,33,73,0.23399999999999999,3.25,2.0,7,1.0,0,308.0,13,28,2.0,2.0,7.0,1275000.0
desclan01,2015,1,CIN,NL,9,13,31,31,0,0,0,554,194,83,17,55,151,0.273,4.05,5.0,6,5.0,0,785.0,0,93,10.0,5.0,22.0,540000.0
detwiro01,2015,1,TEX,AL,0,5,17,7,0,0,0,129,62,34,9,20,28,0.34299999999999997,7.12,0.0,3,3.0,0,208.0,4,37,1.0,3.0,2.0,1000000.0
detwiro01,2015,2,ATL,NL,1,0,24,0,0,0,0,46,20,13,1,16,13,0.33299999999999996,7.63,1.0,0,3.0,0,80.0,3,14,0.0,1.0,4.0,1000000.0
diazja01,2015,1,COL,NL,0,1,21,0,0,0,0,57,16,5,2,6,18,0.222,2.37,0.0,0,0.0,0,78.0,5,6,0.0,0.0,0.0,509500.0
diazju03,2015,1,CIN,NL,2,1,61,0,0,0,1,181,58,28,9,18,70,0.253,4.18,3.0,5,3.0,1,255.0,16,29,3.0,2.0,3.0,525000.0
dickera01,2015,1,TOR,AL,11,11,33,33,2,0,0,643,195,93,25,61,126,0.244,3.91,1.0,9,11.0,2,884.0,0,97,3.0,11.0,18.0,12000000.0
diekmja01,2015,1,PHI,NL,2,1,41,0,0,0,0,110,40,21,3,24,49,0.268,5.15,0.0,1,2.0,0,175.0,6,23,0.0,0.0,2.0,1255000.0
diekmja01,2015,2,TEX,AL,0,0,26,0,0,0,0,65,13,5,2,7,20,0.16899999999999998,2.08,0.0,1,1.0,0,85.0,1,5,0.0,0.0,3.0,1255000.0
doolise01,2015,1,OAK,AL,1,0,12,0,0,0,4,41,12,6,1,5,15,0.235,3.95,0.0,0,0.0,0,57.0,7,6,0.0,1.0,1.0,1580000.0
doubrfe01,2015,1,TOR,AL,1,1,5,4,0,0,0,68,32,12,1,5,13,0.34,4.76,1.0,1,1.0,0,101.0,0,15,0.0,1.0,5.0,2000000.0
